USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root               332 234.0 11.9 412580800 750672   ??  Rs    6:50PM  10:23.97 /Applications/Kaspersky Anti-Virus For Mac.app/Contents/MacOS/kavd.app/Contents/MacOS/kavd -r -bl
root              2369  23.5  0.4 411102464  26656 s000  S+    7:03PM   0:00.16 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/Resources/Python.app/Contents/MacOS/Python collector-macOSv2.py
developer          740   0.0  0.0 426883776   3056   ??  S     6:51PM   0:00.05 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
root               739   0.0  0.0 426891984   2064   ??  Ss    6:51PM   0:00.04 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
developer          738   0.0  0.1 426917040   7440   ??  S     6:51PM   0:00.10 /System/Cryptexes/App/usr/libexec/SafariNotificationAgent
developer          736   0.0  0.1 426918288   3968   ??  S     6:51PM   0:00.06 /System/Library/PrivateFrameworks/WebPrivacy.framework/webprivacyd
developer          735   0.0  0.3 426954784  17824   ??  S     6:51PM   0:00.22 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
developer          733   0.0  0.1 426947504   9120   ??  Ss    6:51PM   0:01.41 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
developer          732   0.0  0.2 427081552  10400   ??  S     6:51PM   0:00.13 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
root               731   0.0  0.1 410917808   4080   ??  Ss    6:51PM   0:00.03 /System/Library/PrivateFrameworks/AppleVirtualPlatform.framework/Versions/A/XPCServices/AppleVirtualPlatformIdentityService.xpc/Contents/MacOS/com.apple.Virtualization.AppleVirtualPlatformIdentity
developer          719   0.0  0.6 411828512  38128   ??  S     6:51PM   0:02.15 /Library/Application Support/Kaspersky Lab/KAV/Applications/Kaspersky Anti-Virus Agent.app/Contents/MacOS/kav_agent
developer          721   0.0  0.2 410944976  12864   ??  S     6:51PM   0:00.49 /Library/Parallels Guest Tools/prlcopypaste
developer          715   0.0  0.1 426917360   3936   ??  S     6:51PM   0:00.08 /System/Library/Image Capture/Support/icdd
developer          726   0.0  0.1 426883344   5584   ??  S     6:51PM   0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
root               729   0.0  0.1 426917824   3648   ??  Ss    6:51PM   0:00.09 /usr/libexec/mobileactivationd
developer          728   0.0  0.3 410825888  17584   ??  S     6:51PM   0:00.86 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
developer          720   0.0  0.2 411071136  12992   ??  S     6:51PM   0:00.10 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
developer          723   0.0  0.7 411384016  42528   ??  S     6:51PM   0:00.25 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
developer          709   0.0  0.3 426950592  15984   ??  S     6:51PM   0:00.45 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
developer          708   0.0  0.5 426925520  32656   ??  S     6:51PM   0:00.35 /System/Library/PrivateFrameworks/HearingCore.framework/heard
developer          713   0.0  0.1 410657024   7824   ??  S     6:51PM   0:00.04 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
developer          707   0.0  0.1 426885424   6000   ??  S     6:51PM   0:00.09 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
developer          706   0.0  0.3 426918752  18896   ??  Ss    6:51PM   0:00.13 /System/iOSSupport/System/Library/PrivateFrameworks/NewsUI2.framework/Versions/A/XPCServices/NewsScoringService.xpc/Contents/MacOS/NewsScoringService
developer          705   0.0  0.2 426918352  10912   ??  S     6:51PM   0:00.16 /System/Library/PrivateFrameworks/NewsDaemon.framework/newsd
developer          699   0.0  0.2 426921616  13584   ??  S     6:51PM   0:00.28 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
developer          698   0.0  0.6 427190640  39808   ??  Ss    6:51PM   0:00.95 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
developer          697   0.0  0.2 426939024  14016   ??  S     6:51PM   0:00.80 /usr/libexec/linkd
developer          696   0.0  0.5 426937232  31808   ??  Ss    6:51PM   0:01.01 /System/Applications/News.app/Contents/PlugIns/NewsToday2.appex/Contents/MacOS/NewsToday2
developer          694   0.0  0.5 426954400  30800   ??  Ss    6:51PM   0:04.09 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
developer          693   0.0  0.0 426880080   1952   ??  S     6:51PM   0:00.02 /System/Library/CoreServices/ReportCrash agent
developer          692   0.0  0.2 426920752  10544   ??  S     6:51PM   0:00.24 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
developer          691   0.0  0.9 427202496  58304   ??  Ss    6:51PM   0:01.88 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
developer          690   0.0  0.3 426970448  16640   ??  Ss    6:51PM   0:00.48 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
developer          688   0.0  0.2 427025664  10304   ??  S     6:51PM   0:00.30 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
developer          687   0.0  0.2 426894400  10272   ??  Ss    6:51PM   0:00.10 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
developer          685   0.0  0.3 426928304  16128   ??  S     6:51PM   0:00.90 /usr/libexec/networkserviceproxy
developer          684   0.0  0.2 426919616  13824   ??  S     6:51PM   0:00.31 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
developer          682   0.0  0.1 426923216   8928   ??  S     6:51PM   0:00.10 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
developer          681   0.0  0.3 426922944  17120   ??  S     6:51PM   0:00.66 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
developer          680   0.0  0.2 426923536   9760   ??  S     6:51PM   0:00.17 /System/Library/PrivateFrameworks/ContactsDonation.framework/Versions/A/Support/contactsdonationagent
developer          679   0.0  0.1 426917024   4784   ??  S     6:51PM   0:00.09 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
developer          678   0.0  0.1 426917616   5376   ??  S     6:51PM   0:00.09 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
developer          676   0.0  0.4 426929584  27024   ??  SN    6:51PM   0:01.81 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
developer          674   0.0  0.3 426928832  19168   ??  S     6:51PM   0:00.86 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
developer          673   0.0  0.7 428732128  45584   ??  S     6:51PM   0:01.27 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
developer          672   0.0  0.7 411429920  42336   ??  S     6:51PM   0:01.10 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
developer          671   0.0  0.9 410852272  55664   ??  Ss    6:51PM   0:01.91 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
developer          649   0.0  0.2 426925392  14016   ??  S     6:50PM   0:00.30 /usr/libexec/appleaccountd
developer          669   0.0  0.0 410130656   1824   ??  Ss    6:50PM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
developer          668   0.0  0.1 426927648   9280   ??  S     6:50PM   0:00.19 /System/Library/CoreServices/pbs
developer          667   0.0  0.0 426953584   3024   ??  Ss    6:50PM   0:00.29 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
developer          666   0.0  0.1 426953584   6736   ??  Ss    6:50PM   0:00.65 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
developer          636   0.0  0.3 426926000  20160   ??  S     6:50PM   0:00.68 /usr/libexec/knowledge-agent
developer          665   0.0  0.2 426898016  10448   ??  S     6:50PM   0:00.46 /usr/libexec/avconferenced
_oahd              663   0.0  0.0 426879680   1232   ??  Ss    6:50PM   0:00.03 /usr/libexec/rosetta/oahd
developer          662   0.0  0.0 33962204    568   ??  Ss    6:50PM   0:02.35 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
root               661   0.0  0.3 426931488  17536   ??  Ss    6:50PM   0:01.18 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
developer          659   0.0  0.2 426922944  10576   ??  S     6:50PM   0:00.19 /usr/libexec/milod
developer          657   0.0  0.2 426926048  11648   ??  S     6:50PM   0:00.29 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
developer          656   0.0  0.0 426879088   2832   ??  S     6:50PM   0:00.03 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
developer          655   0.0  0.2 426885648   9472   ??  S     6:50PM   0:00.17 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
developer          654   0.0  0.2 426923424  10336   ??  S     6:50PM   0:00.25 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
developer          653   0.0  0.3 411056208  21488   ??  S     6:50PM   0:00.66 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
developer          652   0.0  0.4 426939776  24112   ??  S     6:50PM   0:01.75 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
root               651   0.0  0.2 426935072  12832   ??  Ss    6:50PM   0:00.18 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
developer          650   0.0  0.1 410425792   7392   ??  Ss    6:50PM   0:00.10 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
root               648   0.0  0.0 426879712   2448   ??  Ss    6:50PM   0:00.02 /usr/libexec/wallpaperexportd
root               647   0.0  0.2 426924528  11488   ??  Ss    6:50PM   0:01.00 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
developer          646   0.0  0.5 426954160  31008   ??  S     6:50PM   0:01.03 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
developer          645   0.0  0.2 426940656  13888   ??  S     6:50PM   0:01.05 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
developer          643   0.0  0.1 426917024   9120   ??  S     6:50PM   0:00.14 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
developer          642   0.0  0.4 426925872  24416   ??  S     6:50PM   0:00.76 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
developer          640   0.0  0.2 426924704  14752   ??  S     6:50PM   0:00.49 /usr/libexec/replayd
root               600   0.0  0.1 426883296   3184   ??  Ss    6:50PM   0:00.06 /System/Library/CoreServices/SubmitDiagInfo server-init
developer          542   0.0  0.1 426917760   4160   ??  S     6:50PM   0:00.03 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
developer          639   0.0  0.1 426917248   7968   ??  S     6:50PM   0:00.11 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
developer          638   0.0  0.3 426920400  21680   ??  S     6:50PM   0:00.31 /System/Library/CoreServices/audioaccessoryd
developer          637   0.0  0.2 426921808  12160   ??  S     6:50PM   0:00.18 /usr/libexec/intelligentroutingd
developer          635   0.0  0.2 426918400  14480   ??  S     6:50PM   0:00.66 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
developer          634   0.0  0.1 411050304   7040   ??  Ss    6:50PM   0:00.13 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
developer          633   0.0  0.2 427072160  15184   ??  S     6:50PM   0:00.71 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
developer          632   0.0  0.1 426919184   8672   ??  S     6:50PM   0:00.56 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
developer          631   0.0  0.1 426884816   5936   ??  S     6:50PM   0:00.10 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
developer          630   0.0  0.3 426918528  16096   ??  S     6:50PM   0:02.06 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
developer          629   0.0  0.2 426924432  15712   ??  S     6:50PM   0:00.51 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
developer          627   0.0  0.7 427015600  43088   ??  S     6:50PM   0:01.43 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
developer          626   0.0  0.1 426884048   8224   ??  S     6:50PM   0:00.13 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
developer          625   0.0  0.6 411214624  35712   ??  S     6:50PM   0:00.24 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
developer          623   0.0  0.1 426929104   5520   ??  S     6:50PM   0:00.14 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
developer          622   0.0  0.2 426937744  14928   ??  S     6:50PM   0:00.32 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
_applepay          536   0.0  0.1 426883552   5632   ??  Ss    6:50PM   0:00.06 /usr/libexec/seld
developer          621   0.0  0.5 427126752  33232   ??  S     6:50PM   0:05.07 /System/Library/CoreServices/iconservicesagent
developer          620   0.0  0.2 410296992  11232   ??  S     6:50PM   0:00.22 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
developer          619   0.0  0.3 426939712  17072   ??  S     6:50PM   0:00.82 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
root               618   0.0  0.2 426893744  12688   ??  Ss    6:50PM   0:00.19 /usr/sbin/filecoordinationd
developer          617   0.0  0.3 411226688  16368   ??  S     6:50PM   0:00.36 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
root               616   0.0  0.0 426884976   1744   ??  Ss    6:50PM   0:00.02 automountd
_nearbyd           615   0.0  0.1 426928512   8336   ??  Ss    6:50PM   0:00.20 /usr/libexec/nearbyd
developer          614   0.0  0.2 426918128  12048   ??  S     6:50PM   0:00.24 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
developer          612   0.0  0.1 426916864   8384   ??  S     6:50PM   0:00.13 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
developer          613   0.0  0.3 426924560  16304   ??  S     6:50PM   0:02.14 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
root               609   0.0  0.1 426889872   5328   ??  Ss    6:50PM   0:00.09 /usr/libexec/wifip2pd
developer          607   0.0  0.1 426922512   9200   ??  S     6:50PM   0:00.25 /usr/libexec/dmd
developer          608   0.0  0.2 426902416  13936   ??  Ss    6:50PM   0:00.13 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
developer          606   0.0  0.4 427458272  25648   ??  S     6:50PM   0:01.01 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
developer          605   0.0  0.1 426883872   3888   ??  S     6:50PM   0:00.06 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
_gamecontrollerd   535   0.0  0.1 426883920   5648   ??  Ss    6:50PM   0:00.12 /usr/libexec/gamecontrollerd
developer          603   0.0  0.2 426920176  13216   ??  S     6:50PM   0:00.39 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
developer          602   0.0  0.2 426919520  10912   ??  S     6:50PM   0:00.10 /usr/libexec/ContinuityCaptureAgent server
_appleevents       601   0.0  0.0 426883168   1824   ??  S     6:50PM   0:00.05 /usr/sbin/distnoted agent
developer          599   0.0  0.2 426919104  11680   ??  S     6:50PM   0:00.15 /System/Library/CoreServices/sharedfilelistd
developer          596   0.0  0.2 426922544   9840   ??  S     6:50PM   0:00.17 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
developer          595   0.0  0.2 426917744   9808   ??  S     6:50PM   0:00.13 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
developer          593   0.0  0.5 411214304  32992   ??  S     6:50PM   0:01.00 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
developer          592   0.0  0.6 411411632  39504   ??  S     6:50PM   0:01.46 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
developer          591   0.0  0.5 411255216  29616   ??  S     6:50PM   0:02.55 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
developer          589   0.0  0.0 426879824   2624   ??  S     6:50PM   0:00.02 /usr/libexec/spindump_agent
developer          587   0.0  2.7 412000016 169232   ??  S     6:50PM   0:42.27 /Applications/Wireshark.app/Contents/MacOS/Wireshark
root               588   0.0  0.1 426886304   7216   ??  Ss    6:50PM   0:00.04 /usr/sbin/spindump
developer          586   0.0  0.2 426925952  12400   ??  S     6:50PM   0:00.27 /usr/libexec/findmylocateagent
developer          584   0.0  0.3 426954240  18704   ??  S     6:50PM   0:01.11 /System/Library/CoreServices/talagentd
developer          582   0.0  0.0 410130656   1760   ??  Ss    6:50PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
developer          581   0.0  0.1 426883456   5280   ??  S     6:50PM   0:00.03 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
root               580   0.0  0.1 426917568   3856   ??  Ss    6:50PM   0:00.04 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
developer          579   0.0  0.6 411270032  35520   ??  S     6:50PM   0:00.90 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
developer          578   0.0  0.2 426923872  14336   ??  S     6:50PM   0:00.33 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
developer          577   0.0  0.3 426936672  21744   ??  S     6:50PM   0:00.70 /usr/libexec/sharingd
developer          576   0.0  0.2 426917376  11056   ??  S     6:50PM   0:00.49 /usr/libexec/pkd
developer          575   0.0  0.2 426917520  12208   ??  S     6:50PM   0:00.08 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
developer          574   0.0  0.2 426927104  12608   ??  S     6:50PM   0:00.25 /usr/libexec/neagent
developer          573   0.0  0.2 426917472   9936   ??  S     6:50PM   0:00.08 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
developer          572   0.0  0.2 426929312  13920   ??  S     6:50PM   0:00.47 /usr/libexec/transparencyd
developer          558   0.0  0.1 426917008   8192   ??  S     6:50PM   0:00.06 /usr/libexec/icloudmailagent
developer          557   0.0  0.1 426913120   6496   ??  S     6:50PM   0:00.06 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
developer          556   0.0  0.3 426918448  16544   ??  S     6:50PM   0:01.05 /usr/libexec/triald
developer          571   0.0  0.2 426922688  12672   ??  S     6:50PM   0:00.41 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
developer          570   0.0  0.3 426935088  20192   ??  S     6:50PM   0:00.78 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
root               569   0.0  0.1 426918656   8672   ??  Ss    6:50PM   0:00.10 /usr/libexec/rtcreportingd
developer          568   0.0  0.6 427076832  35344   ??  S     6:50PM   0:00.45 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
developer          567   0.0  0.1 426916368   8160   ??  S     6:50PM   0:01.01 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
developer          566   0.0  0.2 426918672  11952   ??  S     6:50PM   0:00.55 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
developer          564   0.0  0.2 426928592  13008   ??  S     6:50PM   0:01.25 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
developer          563   0.0  0.4 426939520  25056   ??  S     6:50PM   0:00.75 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
developer          562   0.0  0.2 426935328  12256   ??  S     6:50PM   0:00.08 /System/Library/CoreServices/IOUIAgent.app/Contents/MacOS/IOUIAgent
developer          561   0.0  0.1 426883808   4624   ??  S     6:50PM   0:00.03 /System/Library/CoreServices/APFSUserAgent
developer          560   0.0  0.2 426922816  14800   ??  S     6:50PM   0:01.85 /usr/libexec/trustd --agent
developer          559   0.0  0.1 426883184   6320   ??  S     6:50PM   0:00.10 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
developer          555   0.0  0.3 426930336  17760   ??  S     6:50PM   0:00.79 /usr/sbin/usernoted
developer          554   0.0  0.2 426930720  15136   ??  S     6:50PM   0:00.49 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
developer          553   0.0  0.1 426918320   8224   ??  S     6:50PM   0:00.34 /usr/libexec/secinitd
developer          552   0.0  0.2 426920944  13312   ??  S     6:50PM   0:00.25 /usr/libexec/nsurlsessiond
developer          551   0.0  0.3 426923984  19392   ??  S     6:50PM   0:00.48 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
developer          550   0.0  0.3 426926864  19040   ??  S     6:50PM   0:00.42 /usr/libexec/rapportd
developer          549   0.0  0.3 426929568  19680   ??  S     6:50PM   0:01.02 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
developer          548   0.0  0.2 426921104   9840   ??  S     6:50PM   0:00.30 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
developer          546   0.0  0.2 426922208  15216   ??  S     6:50PM   0:00.48 /usr/libexec/secd
developer          545   0.0  0.1 426883760   3440   ??  S     6:50PM   0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
developer          544   0.0  0.2 426935472  12048   ??  S     6:50PM   0:00.32 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
developer          543   0.0  0.2 426895600  10432   ??  S     6:50PM   0:00.15 /usr/libexec/pboard
developer          540   0.0  0.3 426928992  17712   ??  S     6:50PM   0:01.00 /usr/libexec/lsd
developer          539   0.0  0.2 410937152  12912   ??  S     6:50PM   0:00.19 /usr/sbin/universalaccessd launchd -s
developer          538   0.0  0.8 411381280  47712   ??  S     6:50PM   0:00.72 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
developer          534   0.0  0.3 426919872  18160   ??  S     6:50PM   0:00.83 /usr/libexec/UserEventAgent (Aqua)
root               476   0.0  0.0 426883280   1472   ??  Ss    6:50PM   0:00.29 /usr/libexec/applekeystored
developer          475   0.0  0.1 426883168   4480   ??  S     6:50PM   0:00.61 /usr/sbin/distnoted agent
root               471   0.0  0.1 426884880   4432   ??  Ss    6:50PM   0:00.05 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
root               426   0.0  0.1 426916960   4608   ??  Ss    6:50PM   0:00.06 /System/Library/CoreServices/osanalyticshelper server-init
root               419   0.0  0.0 426879648   1712   ??  Ss    6:50PM   0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
root               418   0.0  0.1 426917472   4704   ??  Ss    6:50PM   0:00.03 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
root               414   0.0  0.2 411181696  10272   ??  Ss    6:50PM   0:00.11 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
root               413   0.0  0.1 411181360   8320   ??  Ss    6:50PM   0:00.12 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
_accessoryupdater   412   0.0  0.1 410654944   3168   ??  Ss    6:50PM   0:00.02 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDFU.xpc/Contents/MacOS/UARPUpdaterServiceDFU
_accessoryupdater   410   0.0  0.0 426883392   2912   ??  Ss    6:50PM   0:00.06 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
_accessoryupdater   408   0.0  0.1 410787472   3472   ??  Ss    6:50PM   0:00.07 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
_accessoryupdater   407   0.0  0.1 426916624   4608   ??  Ss    6:50PM   0:00.09 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
_accessoryupdater   411   0.0  0.0 410752656   2672   ??  Ss    6:50PM   0:00.04 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
_accessoryupdater   406   0.0  0.1 426924208   5024   ??  Ss    6:50PM   0:00.10 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
_accessoryupdater   409   0.0  0.0 426883168   1776   ??  S     6:50PM   0:00.04 /usr/sbin/distnoted agent
root               359   0.0  0.2 426928544  15168   ??  Ss    6:50PM   0:00.72 /usr/libexec/gamepolicyd
root               358   0.0  0.2 426932160  11888   ??  Ss    6:50PM   0:00.11 /usr/sbin/systemsoundserverd
